DrugName_norm,DrugClass
mucus relief pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
mucus relief pe sinus congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
mucus relief sinus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
mucus relief sinus severe congestion relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
pharbinexpe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
pressure pain mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
pressure plus pain plus mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sudafed pe head congestion plus mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sudafed pe pressure plus pain plus mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe congestion relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe sinus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe sinus congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe sinus congestion and pain,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe sinus pain and congestion,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus congestion and pain,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus congestion and pain relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus congestion and pain severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus pe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus pe pressure pain and mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus pressure and pain,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus relief pressure and pain,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
sinus severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
tylenol sinus severe,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
tukol max action sinus caplets,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
tussnex fm cold and sinus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
tylenol,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
walphed head congestion and mucus,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
walgreens,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
severe sinus congestion relief,"Adrenergic alpha1-Agonists, Decreased Respiratory Secretion Viscosity, Expectorant, Increased Respiratory Secretions, alpha-1 Adrenergic Agonist"
capcof,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Opioid Agonist, alpha-1 Adrenergic Agonist"
promethazine hcl phenylephrine hcl codeine phosphate,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Opioid Agonist, Phenothiazine, Phenothiazines, alpha-1 Adrenergic Agonist"
promethazine vc with codeine oral,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Opioid Agonist, Phenothiazine, Phenothiazines, alpha-1 Adrenergic Agonist"
promethazine hydrochloride phenylephrine hydrochloride and codeine phosphate,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Opioid Agonist, Phenothiazine, Phenothiazines, alpha-1 Adrenergic Agonist"
histex ac,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Opioid Agonist, alpha-1 Adrenergic Agonist"
polytussin ac,"Adrenergic alpha1-Agonists, Full Opioid Agonists, Opioid Agonist, alpha-1 Adrenergic Agonist"
antigrip nighttime,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
alka seltzer plus severe cold and flu powerfast fizz,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
alkaseltzer plus maximum strength cold and cough power max gels,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
alkaseltzer plus maximum strength sinus congestion and pain powerfast fizz,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
alkaseltzer plus severe cold and flu powerfast fizz,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
altilan,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
baczol cold medicine,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
biorytuss,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
broncochem,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
biob kids,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold max multi symptom,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
coltalindm,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
careone childrens cold and flu,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
childrens multi symptom fever and cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
childrens plus flu,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
childrens plus multi symptom cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
childrens tylenol,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold head congestion,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold max nighttime,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold multisymptom,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold multisymptom nighttime,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cold plus head congestion nighttime,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cough and cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
cough and cold plus,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
dometuss,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
drkids children multi symptom cold and flu,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
ed ahist dm,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
edahist dm,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
father johns cough medicine plus,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
gencontuss,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
giltuss allergy plus,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
giltuss childrens allergy plus,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
giltuss childrens multisymptom cold and flu,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
giltuss multisymptom cold and flu,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
multisymptom cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
nohist dm,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
phenagil,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pain relief plus multi symptom cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
pediacare multi symptom cold,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
rycontuss,"Adrenergic alpha1-Agonists, Histamine H1 Receptor Antagonists, Histamine-1 Receptor Antagonist, Sigma-1 Agonist, Sigma-1 Receptor Agonists, Uncompetitive N-methyl-D-aspartate Receptor Antagonist, Uncompetitive NMDA Receptor Antagonists, alpha-1 Adrenergic Agonist"
